distance_km,hour,day_of_week,road_type,historical_speed,traffic_multiplier
11.68,10,3,1,54.27,1.55
13.65,8,5,1,54.99,2.12
5.4,14,6,1,51.49,1.48
16.16,12,3,0,21.59,1.05
4.79,4,0,1,30.1,1.39
12.91,21,4,1,31.63,1.27
10.79,4,1,0,53.66,1.05
5.33,15,6,0,49.35,1.06
14.99,4,2,1,75.19,1.16
7.66,16,1,1,44.89,1.45
6.97,13,1,1,42.21,1.43
4.95,5,2,1,20.62,1.51
3.9,19,2,1,74.65,1.19
12.24,6,2,1,40.04,1.45
19.8,9,5,1,20.04,2.13
6.24,17,1,1,50.18,2.02
13.83,20,5,0,74.09,1.0
10.93,5,0,1,77.32,1.5
16.24,5,1,1,29.79,1.41
6.87,4,6,1,53.37,1.27
4.58,12,6,1,22.06,1.52
6.25,17,1,0,21.62,1.58
12.96,18,4,1,38.82,2.06
18.91,5,2,0,77.49,1.16
9.36,14,4,0,42.91,1.09
10.11,6,6,0,53.19,1.02
5.98,19,6,0,64.74,1.01
1.31,11,4,0,26.16,1.0
8.91,15,6,0,43.38,1.07
19.79,11,5,0,66.02,1.02
9.71,9,1,1,72.98,1.85
13.69,5,3,0,23.9,1.0
11.41,5,0,1,57.84,1.35
19.4,12,0,1,52.16,1.42
16.29,13,6,1,56.36,1.24
15.51,0,0,0,55.02,1.16
4.13,10,6,1,66.68,1.33
2.78,22,6,1,60.57,1.3
17.53,13,4,1,75.12,1.12
13.27,6,6,0,54.99,1.12
4.46,4,1,1,43.66,1.43
3.86,23,0,0,44.69,1.15
15.11,6,3,1,31.49,1.53
11.22,0,3,1,51.78,1.47
12.57,6,0,1,57.58,1.39
19.57,18,4,1,55.8,1.86
17.7,16,4,1,37.72,1.2
11.58,19,2,1,31.17,1.49
8.1,15,1,1,63.72,1.23
14.15,20,4,1,21.85,1.49
15.56,3,5,0,59.78,1.0
6.14,1,1,0,60.7,1.04
14.31,11,3,1,51.33,1.4
5.97,6,4,1,21.6,1.45
1.96,0,0,1,44.45,1.39
15.07,20,5,0,61.31,1.13
10.24,1,5,1,25.87,1.35
11.38,4,1,1,27.3,1.4
17.98,9,0,0,47.73,1.66
4.72,11,0,0,65.12,1.0
2.59,16,0,1,66.92,1.34
3.44,1,6,1,29.02,1.25
13.9,13,5,0,57.0,1.02
17.37,11,4,0,60.64,1.05
2.18,4,5,1,28.14,1.31
8.84,21,6,1,76.48,1.3
12.59,2,2,0,22.45,1.12
12.68,16,3,1,34.67,1.3
2.3,14,0,1,78.38,1.38
4.52,16,1,0,55.19,1.0
8.61,7,1,0,25.11,1.12
4.03,0,5,0,27.23,1.0
4.1,21,1,0,33.19,1.0
4.33,5,5,0,33.08,1.07
11.97,15,6,0,55.41,1.0
16.84,17,1,0,23.01,1.42
15.28,2,1,0,48.94,1.0
3.37,17,0,1,21.08,2.03
13.98,20,6,1,42.71,1.41
10.23,5,0,0,23.74,1.0
10.77,14,2,0,61.46,1.09
2.46,11,4,1,49.87,1.21
1.81,22,6,0,56.57,1.09
9.09,14,2,1,41.88,1.28
17.7,8,1,1,72.42,1.98
9.42,2,4,0,32.32,1.12
7.99,13,2,1,76.52,1.3
6.49,15,6,1,28.62,1.36
18.17,23,1,0,64.6,1.0
11.83,23,6,0,77.39,1.16
1.76,12,4,1,24.62,1.31
8.02,1,2,0,58.58,1.03
8.94,0,1,0,57.68,1.02
4.59,21,5,0,43.41,1.1
13.18,5,2,1,56.91,1.45
5.58,4,6,0,55.93,1.0
6.8,18,3,1,65.63,1.85
5.09,23,6,1,66.78,1.29
4.43,16,4,0,42.65,1.04
10.2,4,1,1,30.17,1.28
11.49,7,5,0,48.0,1.08
11.76,18,2,0,40.8,1.86
15.83,21,5,1,29.53,1.13
8.25,23,4,0,65.96,1.0
3.56,13,6,1,57.72,1.5
16.24,11,3,1,23.56,1.38
4.42,7,6,0,48.06,1.01
10.07,3,0,0,49.3,1.12
6.42,1,6,1,60.62,1.14
4.96,10,4,0,71.24,1.16
12.28,19,4,1,22.84,1.31
3.52,19,2,0,57.08,1.18
15.14,22,1,1,78.08,1.41
12.08,20,3,0,44.64,1.02
16.45,8,5,0,22.93,1.58
12.0,18,2,1,51.33,2.05
14.61,12,2,1,24.98,1.37
2.99,17,0,0,38.37,1.57
14.07,10,4,0,24.93,1.0
1.54,14,3,0,33.62,1.2
11.24,12,5,0,33.54,1.12
11.13,20,5,0,47.86,1.06
14.76,10,4,0,39.67,1.0
4.81,17,1,1,27.87,1.9
19.35,8,3,0,50.57,1.87
12.14,11,2,0,27.73,1.0
9.39,0,5,0,41.28,1.08
10.07,7,1,0,79.48,1.0
10.48,14,2,1,70.03,1.35
9.61,0,3,0,54.34,1.12
1.04,6,5,0,76.48,1.0
10.58,2,1,1,40.79,1.32
2.31,22,4,1,26.83,1.33
12.4,18,4,1,51.35,1.98
1.24,13,2,1,56.8,1.39
14.17,7,2,0,45.57,1.03
5.24,21,2,0,63.36,1.18
13.89,0,0,1,39.73,1.33
12.48,21,4,0,64.19,1.11
19.79,14,1,0,57.73,1.0
11.15,9,3,1,68.08,2.21
11.27,0,6,1,49.86,1.5
2.73,2,0,0,49.73,1.0
12.39,17,4,0,48.86,1.69
15.74,6,1,1,29.77,1.38
6.49,17,5,1,33.96,1.91
14.23,14,4,0,68.56,1.16
4.4,16,5,1,69.36,1.28
4.36,5,0,1,36.53,1.3
14.47,10,0,1,57.13,1.25
7.29,0,3,0,25.86,1.03
16.25,11,1,0,63.72,1.01
14.91,19,3,0,60.89,1.09
7.71,1,0,1,21.89,1.32
10.95,4,4,1,37.25,1.47
15.65,20,1,0,71.87,1.15
19.22,5,1,0,21.25,1.0
10.25,12,1,1,45.74,1.51
15.04,8,3,0,43.6,1.7
7.84,11,3,0,67.65,1.14
5.29,17,0,0,52.59,1.65
15.6,9,3,1,71.28,2.18
12.36,11,0,0,64.39,1.17
10.18,3,1,1,64.13,1.36
2.25,17,4,0,71.85,1.67
11.27,13,1,0,44.28,1.0
18.91,20,1,1,76.93,1.17
10.13,19,0,0,48.4,1.17
5.59,17,0,0,75.69,1.52
17.27,5,6,0,21.52,1.0
1.41,21,5,0,23.38,1.0
10.5,0,4,0,33.19,1.06
3.4,12,3,0,27.54,1.0
4.99,12,5,1,52.28,1.34
15.43,11,5,1,28.86,1.43
9.11,15,1,1,23.04,1.26
10.19,16,1,0,54.76,1.18
1.9,17,1,1,65.6,2.16
19.63,2,5,0,79.99,1.0
14.85,8,6,1,43.27,2.04
3.57,20,5,1,43.25,1.25
15.24,4,5,0,29.38,1.02
3.09,21,6,0,41.57,1.0
12.67,4,6,1,68.69,1.38
3.09,18,1,1,45.3,2.2
17.82,13,1,1,60.41,1.28
5.23,16,5,1,72.99,1.24
12.16,17,6,1,36.04,2.02
17.6,9,1,0,46.89,1.64
4.58,6,5,1,29.4,1.23
4.45,23,1,1,47.32,1.43
7.49,11,5,0,36.65,1.0
16.75,7,6,1,37.16,1.59
18.19,5,5,0,78.17,1.09
8.01,7,0,0,24.95,1.02
6.0,6,1,0,32.56,1.08
12.91,16,2,0,66.85,1.06
1.8,14,5,1,62.23,1.23
16.4,19,6,1,70.52,1.28
7.95,21,6,1,32.92,1.21
17.76,2,4,0,77.74,1.19
10.08,17,4,1,74.44,1.97
19.8,2,6,1,38.92,1.45
7.11,17,0,0,23.38,1.76
18.74,22,4,1,47.65,1.25
16.3,9,1,0,73.2,1.63
3.38,10,4,1,60.7,1.31
13.27,5,6,1,52.35,1.46
14.12,22,3,0,53.82,1.05
4.74,10,0,1,55.11,1.21
7.82,15,2,0,39.33,1.0
13.67,23,0,1,34.39,1.45
13.55,4,1,0,79.91,1.0
6.26,18,3,1,67.44,2.09
13.61,3,2,1,55.62,1.36
6.42,2,3,1,41.58,1.37
19.61,18,0,1,21.8,1.88
8.11,18,1,1,52.94,1.9
12.98,22,5,1,70.78,1.2
8.07,22,1,0,25.2,1.07
6.54,8,1,1,40.1,2.23
10.77,7,6,0,77.0,1.16
14.33,10,3,1,67.25,1.36
19.92,3,5,1,40.8,1.52
14.16,15,3,1,23.0,1.34
8.33,11,5,0,51.24,1.03
5.19,18,0,0,36.78,1.69
10.03,2,6,1,66.73,1.3
6.36,13,3,1,63.52,1.15
5.09,13,6,0,37.5,1.19
9.08,22,2,0,74.05,1.18
12.59,9,6,0,53.52,1.66
16.7,15,1,1,62.86,1.38
15.09,17,0,1,40.5,2.14
12.14,13,1,0,48.18,1.04
4.18,7,1,0,62.68,1.09
15.1,13,3,0,55.91,1.11
19.22,0,5,1,70.81,1.23
18.45,16,6,1,59.49,1.55
6.66,8,6,1,56.82,1.96
19.63,18,5,1,51.21,2.14
9.97,23,2,1,55.66,1.42
11.05,3,3,1,71.26,1.27
18.64,0,5,1,21.38,1.51
18.31,5,2,1,79.8,1.35
19.54,5,1,1,77.3,1.55
9.96,7,1,0,66.12,1.11
2.37,0,3,1,72.98,1.32
9.14,18,6,0,22.0,1.72
10.78,6,4,0,46.83,1.0
11.41,15,0,0,74.5,1.07
19.99,2,5,0,75.24,1.06
12.54,6,1,0,56.67,1.18
12.29,11,5,0,55.41,1.0
9.82,5,2,0,60.33,1.16
15.8,18,0,0,31.77,1.78
14.12,10,4,0,57.34,1.04
7.68,14,2,0,56.33,1.04
6.14,5,4,1,69.29,1.35
18.9,15,6,1,20.45,1.3
19.86,7,4,1,47.88,1.32
12.02,8,3,0,67.46,1.7
14.48,4,1,0,21.34,1.0
3.45,19,1,0,62.93,1.17
9.24,2,3,0,47.7,1.0
16.07,15,2,0,29.59,1.0
13.12,13,6,1,48.3,1.36
19.47,22,0,1,40.76,1.37
3.03,15,2,0,68.38,1.0
1.84,0,0,0,76.29,1.05
10.64,8,0,0,79.84,1.87
2.4,19,0,1,42.41,1.15
13.2,21,0,0,74.52,1.0
16.84,23,1,0,76.62,1.12
5.0,1,6,0,61.55,1.0
3.68,2,4,0,68.55,1.19
14.61,17,2,1,37.82,2.05
17.08,7,0,1,32.1,1.39
19.67,12,3,0,31.23,1.15
12.79,13,4,1,44.24,1.3
5.23,6,2,1,36.02,1.49
12.75,8,6,0,77.03,1.95
8.45,14,2,1,46.75,1.35
14.07,2,0,0,32.28,1.0
6.26,14,1,1,37.91,1.15
11.41,19,1,1,25.13,1.3
1.15,19,2,1,42.01,1.26
8.16,0,3,0,43.38,1.13
16.15,15,2,1,69.35,1.32
18.82,7,2,1,78.74,1.31
5.77,16,1,1,35.34,1.42
9.92,19,0,0,60.52,1.0
4.19,3,4,1,72.63,1.39
19.72,7,6,1,23.43,1.39
3.76,16,5,1,70.7,1.28
3.94,9,6,0,76.07,1.69
3.9,3,1,0,57.54,1.11
7.73,3,0,0,66.31,1.11
14.0,3,0,1,37.87,1.2
14.46,6,4,1,34.56,1.32
14.53,18,4,1,67.34,2.05
10.43,10,3,1,62.26,1.59
15.14,16,1,1,29.27,1.35
12.94,8,1,0,45.35,1.93
18.71,5,1,0,43.5,1.0
14.19,7,5,1,70.51,1.36
9.37,3,4,1,50.96,1.48
15.61,8,4,1,28.23,2.11
8.51,1,4,1,54.76,1.24
13.72,19,0,0,21.99,1.03
17.48,17,1,1,72.47,2.11
18.64,22,1,0,56.23,1.04
15.85,14,4,0,38.69,1.0
14.84,17,0,1,58.26,1.79
11.28,3,5,0,75.28,1.0
18.75,12,3,0,60.4,1.02
1.65,10,2,1,72.13,1.38
17.98,0,1,0,50.15,1.16
7.48,22,0,1,70.34,1.18
6.79,5,4,1,30.96,1.37
16.86,19,2,0,74.51,1.17
1.9,15,1,1,49.76,1.19
2.65,16,1,0,57.85,1.03
7.93,7,0,1,76.51,1.42
7.61,3,2,1,59.39,1.34
19.09,15,4,1,69.31,1.35
2.52,0,3,1,75.68,1.52
15.62,4,0,0,70.51,1.11
4.43,18,1,1,28.59,2.26
9.39,1,5,0,66.03,1.1
13.68,22,4,0,51.64,1.0
10.18,12,0,1,30.94,1.42
8.93,23,5,1,51.73,1.37
10.45,15,2,1,32.57,1.47
15.52,11,5,0,61.85,1.0
4.59,9,5,1,74.27,2.2
17.18,20,3,1,30.66,1.5
6.68,19,5,1,77.92,1.54
3.23,20,6,0,37.31,1.16
3.72,2,0,0,74.26,1.09
3.68,10,2,0,78.67,1.09
11.81,4,6,0,35.71,1.04
4.34,6,3,0,43.9,1.01
14.42,16,5,1,70.52,1.22
19.45,23,2,1,44.61,1.42
11.81,6,4,0,26.18,1.18
5.31,15,6,0,66.89,1.15
5.74,0,5,1,20.06,1.54
10.96,3,3,0,73.41,1.16
12.32,15,1,1,63.79,1.37
19.45,17,0,0,74.14,1.87
15.36,9,4,0,30.75,1.74
9.66,21,0,0,41.1,1.0
19.24,4,6,1,63.39,1.38
18.3,3,5,0,70.22,1.1
4.76,2,1,0,45.41,1.2
18.73,14,4,1,38.93,1.33
13.43,10,0,0,58.2,1.0
6.44,17,0,0,47.57,1.73
7.86,8,4,0,34.96,1.49
12.75,10,2,0,67.63,1.08
17.61,13,0,1,79.92,1.45
13.86,21,5,0,35.72,1.01
19.52,17,1,1,39.74,1.74
16.45,4,6,0,75.24,1.0
16.99,5,0,1,52.03,1.35
17.75,0,5,0,46.86,1.03
18.68,17,6,0,53.55,1.91
8.0,8,5,1,42.74,2.09
2.14,19,0,1,30.98,1.29
3.37,14,6,0,42.77,1.0
5.0,9,2,0,24.56,1.81
3.36,23,2,0,30.74,1.05
1.31,21,1,1,77.26,1.56
19.75,6,4,1,51.28,1.44
17.91,11,2,1,28.99,1.38
6.79,4,0,1,60.24,1.15
11.1,21,5,1,50.18,1.31
16.94,13,1,1,42.23,1.35
6.83,1,1,0,66.45,1.04
18.18,18,0,1,53.2,1.97
18.04,15,3,1,41.84,1.47
1.93,10,0,1,74.16,1.33
13.03,5,2,1,48.81,1.15
4.78,11,4,0,47.87,1.06
5.92,7,6,0,40.06,1.0
1.9,20,3,0,58.39,1.1
5.16,21,2,0,27.48,1.1
6.87,5,1,1,72.31,1.31
6.48,4,2,1,66.38,1.33
13.35,14,6,1,47.38,1.28
2.74,0,0,0,67.86,1.01
11.35,17,6,1,49.17,2.17
6.05,16,6,0,41.68,1.06
5.5,12,1,0,58.78,1.18
7.1,1,1,0,40.23,1.06
1.45,7,5,1,30.22,1.33
1.28,4,6,0,39.27,1.0
7.12,9,6,1,57.15,2.09
3.23,20,0,1,49.66,1.1
12.49,12,2,1,63.67,1.22
16.11,17,2,1,51.65,2.0
19.19,7,5,1,71.32,1.41
13.42,1,4,0,25.17,1.0
10.64,12,6,1,36.39,1.49
14.23,15,0,1,41.47,1.31
19.9,13,3,1,20.48,1.41
11.28,5,4,1,70.72,1.34
9.45,8,0,1,65.52,2.09
13.5,12,4,1,58.76,1.33
17.22,11,0,0,76.8,1.0
13.77,10,0,0,68.23,1.16
14.68,3,2,0,33.86,1.0
10.91,7,4,1,66.34,1.53
19.32,18,5,0,25.62,1.5
12.45,13,1,1,67.12,1.44
5.19,6,6,1,33.23,1.29
2.04,9,0,1,62.97,2.1
6.03,7,0,0,52.36,1.0
9.74,16,4,1,25.6,1.33
7.66,20,6,1,39.51,1.39
18.18,23,6,0,30.0,1.06
14.46,17,5,1,59.14,1.85
3.03,0,1,0,68.37,1.16
3.31,20,6,1,34.07,1.28
4.57,16,4,1,50.5,1.28
18.05,10,6,0,42.84,1.14
17.8,7,6,1,50.23,1.44
1.78,8,2,1,72.76,1.83
18.12,0,0,1,65.45,1.33
7.59,21,1,1,79.97,1.48
9.72,23,0,1,56.77,1.47
14.05,18,4,1,24.06,2.08
9.02,17,1,0,37.18,1.72
17.26,2,1,0,33.12,1.0
9.17,23,5,1,39.09,1.2
8.47,14,2,0,58.42,1.12
12.7,3,0,1,67.7,1.25
14.59,23,4,0,75.04,1.15
9.91,19,0,1,77.53,1.44
4.46,6,5,1,38.97,1.5
13.12,2,5,0,42.37,1.09
5.68,22,0,0,67.37,1.0
7.47,9,4,1,78.16,1.67
11.18,18,0,0,57.49,1.53
9.1,23,1,1,37.35,1.45
17.88,2,2,1,30.78,1.27
10.97,17,6,1,55.42,1.85
3.43,1,6,0,74.31,1.15
12.45,21,0,0,56.74,1.12
10.41,10,3,1,74.27,1.32
9.52,23,5,1,28.63,1.25
3.72,14,5,1,35.78,1.31
19.9,6,3,0,62.49,1.0
19.29,7,2,1,41.85,1.36
14.08,10,0,0,55.52,1.15
5.16,12,1,1,45.51,1.16
16.63,10,6,0,66.68,1.19
1.15,15,6,0,66.63,1.03
6.47,19,6,0,59.67,1.0
1.03,22,4,0,58.47,1.2
8.17,5,0,0,74.05,1.04
16.31,9,2,0,36.13,1.84
4.28,7,5,1,37.59,1.21
11.67,1,5,1,54.84,1.44
13.91,16,5,0,55.76,1.16
19.04,2,3,0,53.5,1.01
18.26,1,6,1,64.45,1.36
15.64,4,4,0,46.06,1.0
18.16,18,5,1,66.21,2.25
3.85,9,4,1,56.88,2.15
4.13,7,0,1,59.78,1.24
9.72,16,0,1,49.68,1.5
11.42,19,0,0,69.21,1.05
1.59,5,6,0,31.39,1.01
8.06,17,0,0,79.61,1.81
3.6,16,2,1,64.46,1.35
2.66,7,2,1,67.87,1.32
6.01,23,5,0,57.05,1.0
7.61,12,3,1,53.33,1.38
8.62,20,2,0,23.34,1.13
19.7,20,1,1,50.26,1.15
15.82,3,6,0,49.91,1.2
7.36,0,4,1,29.65,1.31
7.97,11,0,1,60.29,1.43
18.81,0,2,0,45.75,1.11
7.83,23,4,1,55.55,1.37
13.73,22,0,1,53.02,1.38
14.91,20,2,1,49.85,1.21
15.71,20,4,0,27.74,1.03
6.25,9,0,1,30.42,2.19
19.57,9,2,1,67.84,2.14
19.33,20,5,1,21.47,1.27
2.97,4,2,1,56.93,1.27
11.52,2,6,0,21.09,1.02
5.29,20,4,0,63.4,1.0
16.24,1,0,1,76.41,1.33
18.22,19,4,0,57.02,1.07
6.68,11,2,0,51.37,1.07
8.64,20,4,1,24.14,1.23
14.5,9,0,1,22.67,1.97
9.41,0,6,0,42.49,1.0
9.14,20,5,1,26.44,1.37
6.91,7,3,1,42.23,1.47
10.73,16,2,0,31.35,1.0
3.16,10,3,0,47.01,1.0
12.47,19,0,1,25.02,1.46
1.01,23,2,0,35.35,1.12
6.13,9,2,0,75.57,1.87
14.14,1,5,0,59.25,1.0
6.44,17,0,0,63.81,1.71
17.65,12,6,1,25.94,1.31
4.95,3,4,0,53.47,1.04
13.07,4,6,0,34.15,1.03
17.4,2,1,1,37.35,1.47
13.66,0,2,1,41.44,1.3
12.66,23,3,0,73.24,1.0
11.23,12,5,1,56.95,1.47
4.79,1,0,1,22.7,1.4
4.88,18,2,0,48.31,1.65
16.96,23,4,0,26.42,1.04
7.73,20,1,1,23.53,1.37
12.92,15,3,0,30.79,1.0
11.13,12,5,0,39.49,1.17
7.41,2,3,1,39.9,1.33
11.71,3,2,0,23.55,1.02
8.99,21,1,1,78.27,1.5
5.0,6,3,1,39.75,1.47
11.65,6,4,0,70.38,1.01
4.04,20,2,0,43.88,1.2
6.98,4,6,0,59.71,1.0
13.26,11,4,0,78.87,1.14
15.82,20,5,1,54.7,1.39
1.15,0,6,1,55.97,1.54
12.79,13,3,1,62.96,1.33
6.49,23,0,1,30.79,1.28
8.04,6,1,1,23.53,1.16
4.91,6,5,0,51.3,1.2
19.63,16,6,1,36.1,1.51
8.26,4,3,0,53.62,1.0
14.02,19,1,1,36.97,1.25
9.91,11,1,0,24.6,1.0
3.01,2,2,1,28.15,1.22
19.01,13,1,0,21.17,1.0
9.26,14,5,1,23.81,1.45
3.23,7,2,1,23.18,1.39
14.39,18,6,1,20.11,2.03
15.61,10,0,0,50.23,1.05
12.2,23,0,1,73.35,1.22
13.02,2,2,1,50.74,1.21
5.47,5,6,0,24.31,1.03
13.1,10,2,1,77.57,1.47
10.44,5,0,0,26.85,1.13
11.13,4,2,0,59.15,1.19
8.28,22,0,1,48.0,1.27
2.88,6,5,1,22.5,1.45
10.52,7,6,0,61.32,1.06
8.82,10,4,0,58.23,1.07
8.89,11,6,0,60.64,1.0
11.98,14,3,0,61.8,1.0
4.61,5,0,0,76.89,1.0
15.9,20,3,1,64.31,1.4
7.86,5,3,1,29.74,1.3
4.82,3,2,1,69.18,1.29
8.53,6,2,1,43.72,1.31
14.3,21,6,0,37.41,1.11
6.3,6,6,1,71.54,1.4
9.01,1,3,0,41.19,1.0
14.02,18,4,1,78.32,2.26
10.93,0,5,1,23.2,1.15
14.84,16,6,0,77.09,1.0
10.1,6,5,1,38.14,1.23
5.49,0,6,0,77.7,1.03
3.41,22,2,1,38.86,1.58
11.39,14,4,0,63.89,1.14
12.45,17,5,1,44.98,2.1
16.88,5,4,1,57.45,1.13
9.34,15,2,1,64.73,1.46
3.11,7,2,0,69.98,1.13
18.91,22,5,1,47.36,1.48
12.31,9,4,0,38.91,1.74
18.88,20,6,0,61.3,1.03
15.47,9,0,0,79.33,1.72
2.02,13,5,1,64.57,1.45
17.48,6,0,0,46.99,1.1
13.88,6,4,0,76.38,1.02
14.39,2,1,0,62.03,1.09
2.04,22,0,0,45.65,1.0
15.65,11,6,0,40.03,1.0
1.05,16,5,1,70.65,1.29
16.66,1,5,0,42.34,1.12
10.8,17,5,1,26.34,2.09
5.93,6,0,1,61.56,1.44
10.95,13,5,1,42.93,1.53
6.7,18,3,0,65.03,1.85
12.2,18,1,1,69.54,2.18
5.51,2,0,0,53.85,1.17
8.3,12,6,1,64.51,1.45
17.18,2,3,0,22.43,1.16
3.67,11,0,1,69.61,1.55
17.33,19,0,1,64.85,1.43
5.28,11,0,0,61.92,1.15
9.85,22,2,0,38.13,1.15
11.06,9,2,1,38.99,2.16
4.02,20,4,0,42.34,1.04
1.03,16,6,0,31.31,1.09
1.06,22,2,1,30.48,1.24
11.61,3,5,1,70.13,1.35
2.97,14,2,0,47.75,1.01
11.24,4,4,1,56.08,1.37
19.05,2,3,1,33.73,1.2
2.3,21,2,0,65.35,1.04
3.26,22,5,1,72.61,1.43
13.59,18,1,0,31.81,1.56
15.47,5,0,1,68.46,1.43
1.07,20,2,0,71.12,1.17
6.37,8,5,1,70.74,2.1
5.66,17,3,0,48.12,1.66
14.16,6,4,0,57.19,1.0
15.67,4,3,1,66.36,1.41
18.59,17,3,0,59.32,1.8
13.77,11,1,1,21.92,1.38
15.3,4,3,0,42.31,1.15
10.52,12,5,1,26.61,1.26
9.24,15,1,1,37.37,1.24
16.93,19,6,0,49.9,1.03
8.67,6,3,1,29.37,1.24
9.66,8,5,0,57.0,1.83
15.62,0,2,1,22.55,1.37
8.54,16,2,0,41.87,1.18
9.97,7,3,1,27.81,1.27
15.7,7,4,0,27.56,1.2
14.99,5,3,0,51.67,1.0
7.22,21,0,1,62.48,1.36
15.29,0,2,1,31.17,1.19
2.17,21,4,1,66.4,1.41
8.52,13,4,0,43.58,1.0
2.02,10,0,1,28.73,1.32
18.56,11,6,0,79.85,1.09
19.3,17,2,1,61.12,1.79
8.11,13,1,0,50.65,1.12
8.88,18,3,0,62.53,1.55
6.53,23,5,0,61.73,1.15
17.76,2,3,0,32.74,1.13
11.79,18,6,0,57.86,1.97
4.05,3,4,0,50.44,1.0
2.61,20,3,1,76.21,1.36
6.27,15,2,1,22.02,1.43
1.74,20,4,0,71.77,1.06
3.63,0,3,0,34.39,1.0
6.15,0,1,1,51.33,1.38
14.6,23,2,1,73.04,1.42
16.58,11,0,0,68.86,1.0
11.22,21,0,1,59.97,1.34
7.85,3,3,0,77.99,1.0
6.73,16,0,1,55.82,1.43
13.89,9,6,1,79.38,2.18
6.65,5,2,0,73.85,1.09
16.12,13,2,1,36.13,1.44
17.35,22,5,1,51.12,1.38
2.83,23,0,1,32.04,1.51
8.0,4,3,1,60.99,1.38
17.31,12,0,0,76.63,1.05
8.98,22,6,0,79.56,1.17
9.57,6,3,1,41.11,1.27
11.56,0,2,1,45.57,1.21
14.27,18,5,1,29.86,1.97
19.93,8,0,0,53.48,1.83
18.7,0,6,0,47.61,1.17
16.79,7,3,0,60.05,1.09
14.3,11,3,1,45.36,1.22
13.27,6,5,1,35.78,1.32
5.75,19,4,0,35.2,1.19
19.85,19,6,1,41.79,1.33
3.88,6,1,1,27.79,1.19
6.35,17,1,1,41.22,1.89
13.5,7,3,0,23.53,1.1
11.86,3,5,0,45.95,1.16
7.0,16,5,0,69.09,1.14
8.4,14,5,1,23.37,1.55
6.55,7,1,1,72.79,1.29
4.2,15,4,0,40.71,1.0
16.85,22,1,1,70.92,1.17
8.02,19,4,0,21.75,1.08
18.04,14,2,1,42.75,1.27
11.21,5,3,1,69.73,1.39
4.9,23,5,0,77.94,1.04
3.88,22,0,0,36.94,1.17
5.2,10,2,1,50.75,1.27
18.45,12,1,1,29.89,1.41
16.25,0,3,0,51.31,1.01
16.68,10,0,1,79.48,1.32
13.39,15,3,0,68.05,1.13
12.56,20,2,0,25.66,1.03
5.87,14,3,1,75.94,1.25
14.08,3,3,0,58.2,1.01
15.01,4,3,0,58.01,1.0
19.07,16,6,1,22.79,1.45
10.63,8,5,1,41.85,1.99
11.61,16,1,0,75.79,1.07
12.46,23,6,1,49.61,1.33
8.6,14,4,1,58.73,1.38
2.98,5,0,1,53.62,1.44
16.48,10,5,0,40.31,1.15
14.25,16,0,1,59.09,1.39
17.65,2,3,1,54.48,1.39
2.9,10,4,0,35.67,1.1
10.62,21,1,0,34.61,1.0
11.33,13,1,0,27.74,1.0
1.59,13,4,0,48.99,1.16
1.84,8,3,0,52.6,1.79
11.95,6,5,1,40.85,1.43
9.66,21,6,1,64.09,1.41
4.06,3,2,0,72.81,1.0
16.75,17,3,1,74.95,1.9
10.77,15,4,1,35.25,1.3
16.52,12,0,0,32.7,1.0
5.9,1,3,0,74.96,1.0
13.32,11,0,1,42.03,1.18
7.51,13,5,0,34.45,1.0
5.09,8,0,1,54.71,1.81
19.09,23,2,0,38.56,1.01
3.66,6,6,1,56.81,1.38
8.4,0,0,1,30.69,1.29
12.39,11,6,0,60.84,1.02
6.61,20,4,0,29.17,1.0
4.38,21,6,1,55.59,1.55
6.16,14,0,1,64.01,1.43
16.02,14,2,0,70.47,1.0
19.78,18,0,0,35.66,1.65
9.65,18,4,0,48.13,1.64
2.27,17,3,1,45.78,2.13
4.3,22,4,1,78.95,1.57
11.91,1,2,0,27.01,1.1
6.37,20,5,0,20.62,1.04
12.3,1,6,0,46.72,1.18
3.42,0,5,1,75.98,1.43
10.83,16,2,1,34.62,1.35
7.16,0,0,0,48.56,1.12
3.48,11,5,0,56.84,1.12
1.98,23,4,1,26.7,1.37
5.05,6,1,0,77.2,1.07
18.23,4,6,1,68.95,1.31
6.37,19,5,0,42.6,1.19
10.3,17,6,0,71.19,1.6
13.33,13,5,0,57.65,1.19
2.85,0,2,1,25.71,1.3
3.87,16,0,0,21.35,1.13
18.59,11,2,0,72.36,1.0
8.56,19,3,0,54.92,1.08
3.2,21,4,0,35.53,1.14
13.72,19,2,1,26.53,1.39
10.32,16,3,0,76.01,1.0
19.68,6,3,0,59.97,1.0
7.58,15,0,0,51.93,1.0
14.59,22,2,0,44.4,1.11
16.9,18,1,1,43.75,1.98
19.06,5,2,0,29.02,1.16
10.32,9,4,0,46.61,1.73
17.56,18,2,0,46.29,1.76
13.42,2,0,0,31.07,1.01
15.89,15,3,1,50.03,1.32
14.96,3,3,0,38.5,1.17
15.93,22,2,1,60.97,1.4
8.59,16,5,1,69.76,1.42
15.31,10,5,1,42.19,1.32
1.13,16,1,0,37.64,1.0
11.7,4,3,0,40.21,1.04
11.18,8,0,0,43.53,1.74
6.34,14,0,1,26.34,1.53
4.93,23,6,0,28.92,1.18
15.68,14,3,1,23.72,1.25
8.8,11,1,1,37.28,1.4
11.93,12,2,1,72.85,1.42
15.62,3,0,1,63.33,1.32
